name,core_count,core_clock,boost_clock,tdp,graphics,smt,brand,series,model,cpu_mark,thread_mark,socket,offers,image
AMD A10-5700,4,3.4,,65,Radeon HD 7660D,False,AMD,A10,5700,2742,1429,FM2,[],
AMD A10-5800K,4,3.8,,100,Radeon HD 7660D,False,AMD,A10,5800K,2955,1492,FM2,[],
AMD A10-6700,4,3.7,,65,Radeon HD 8670D,False,AMD,A10,6700,3112,1606,FM2,[],
AMD A10-6700T,4,2.5,3.5,45,Radeon HD 8650D,False,AMD,A10,6700T,2299,1290,FM2,[],
AMD A10-6790K,4,4.0,4.3,100,Radeon HD 8670D,False,AMD,A10,6790K,3103,1559,FM2,[],
AMD A10-6800B,4,4.1,4.4,100,Radeon HD 8670D,False,AMD,A10,6800B,3155,1666,FM2,[],
AMD A10-6800K,4,4.1,,100,Radeon HD 8670D,False,AMD,A10,6800K,3188,1594,FM2,[],
AMD A10-7700K,4,3.4,3.8,95,Radeon R7 (on-die),False,AMD,A10,7700K,3203,1432,FM2+,[],
AMD A10-7800,4,3.5,3.9,65,Radeon R7 (on-die),False,AMD,A10,7800,3212,1458,FM2+,[],
AMD A10-7850K,4,3.7,4.0,95,Radeon R7 (on-die),False,AMD,A10,7850K,3397,1497,FM2+,[],
AMD A10-7860k,4,3.6,4.0,65,Radeon R7 (on-die),False,AMD,A10,7860k,3271,1484,FM2+,[],
AMD A10-7870K,4,3.9,4.1,95,Radeon R7 (on-die),False,AMD,A10,7870K,3492,1530,FM2+,[],
AMD A10-7890K,4,4.1,4.3,95,Radeon R7 (on-die),False,AMD,A10,7890K,3536,1573,FM2+,[],
AMD A10-9700,4,3.5,3.8,65,Radeon R7 (on-die),False,AMD,A10,9700,3552,1618,AM4,[],
AMD A10-9700E,4,3.0,3.5,35,Radeon R7 (on-die),False,AMD,A10,9700E,3242,1505,AM4,[],
AMD A12-9800,4,3.8,4.2,65,Radeon R7 (on-die),False,AMD,A12,9800,3635,1682,AM4,[],
AMD A12-9800E,4,3.1,3.8,35,Radeon R7 (on-die),False,AMD,A12,9800E,3471,1617,AM4,[],
AMD A4-3300,2,2.5,,65,Radeon HD 6410D,False,AMD,A4,3300,942,973,FM1,[],
AMD A4-3400,2,2.7,,65,Radeon HD 6410D,False,AMD,A4,3400,1089,1084,FM1,[],
AMD A4-3420,2,2.8,,65,Radeon HD 6410D,False,AMD,A4,3420,1067,1119,FM1,[],
AMD A4-4000,2,3.0,,65,Radeon HD 7480D,False,AMD,A4,4000,1152,1137,FM2,[],
AMD A4-4020,2,3.2,3.4,65,Radeon HD 7480D,False,AMD,A4,4020,1268,1220,FM2,[],
AMD A4-5300,2,3.4,,65,Radeon HD 7480D,False,AMD,A4,5300,1365,1338,FM2,[],
AMD A4-6300,2,3.7,3.9,65,Radeon HD 8370D,False,AMD,A4,6300,1422,1396,FM2,[],
AMD A4-6320,2,3.8,4.0,65,Radeon HD 8370D,False,AMD,A4,6320,1530,1529,FM2,[],
AMD A4-7300,2,3.8,4.0,65,Radeon HD 8470D,False,AMD,A4,7300,1534,1480,FM2,[],
AMD A6-3500,3,2.1,,65,Radeon HD 6530D,False,AMD,A6,3500,1432,964,FM1,[],
AMD A6-3650,4,2.6,,100,Radeon HD 6530D,False,AMD,A6,3650,2086,1045,FM1,[],
AMD A6-5400K,2,3.6,,65,Radeon HD 7540D,False,AMD,A6,5400K,1274,1265,FM2,[],
AMD A6-6400K,2,3.9,,65,Radeon HD 8470D,False,AMD,A6,6400K,1507,1446,FM2,[],
AMD A6-6420K,2,4.0,4.2,65,Radeon HD 8000 Series,False,AMD,A6,6420K,1565,1546,FM2,[],
AMD A6-7400K,2,3.5,3.9,65,Radeon R5 (on die),False,AMD,A6,7400K,1635,1434,FM2+,[],
AMD A6-7470K,2,3.7,4.0,65,Radeon R5 (on die),False,AMD,A6,7470K,1799,1576,FM2+,[],
AMD A6-7480,2,3.5,3.8,65,Radeon R5 (on die),False,AMD,A6,7480,1808,1528,FM2+,[],
AMD A6-9500,2,3.5,3.8,65,Radeon R5 (on die),False,AMD,A6,9500,1877,1629,AM4,[],
AMD A6-9500E,2,3.0,3.4,35,Radeon R5 (on die),False,AMD,A6,9500E,1725,1369,AM4,[],
AMD A8-3850,4,2.9,,100,Radeon HD 6550D,False,AMD,A8,3850,2390,1215,FM1,[],
AMD A8-3870K,4,3.0,,100,Radeon HD 6550D,False,AMD,A8,3870K,2328,1210,FM1,[],
AMD A8-5500,4,3.2,,65,Radeon HD 7560D,False,AMD,A8,5500,2610,1333,FM2,[],
AMD A8-5600K,4,3.6,,100,Radeon HD 7560D,False,AMD,A8,5600K,2865,1430,FM2,[],
AMD A8-6500,4,3.5,,65,Radeon HD 8570D,False,AMD,A8,6500,2826,1474,FM2,[],
AMD A8-6600K,4,3.9,,100,Radeon HD 8570D,False,AMD,A8,6600K,3000,1533,FM2,[],
AMD A8-7600,4,3.1,3.8,65,Radeon R7 (on-die),False,AMD,A8,7600,3213,1444,FM2+,[],
AMD A8-7650K,4,3.3,3.7,65,Radeon R7 (on-die),False,AMD,A8,7650K,3122,1405,FM2+,[],
AMD A8-7670K,4,3.6,3.9,95,Radeon R7 (on-die),False,AMD,A8,7670K,3213,1493,FM2+,[],
AMD A8-9600,4,3.1,3.4,65,Radeon R7 (on-die),False,AMD,A8,9600,3304,1486,AM4,[],
AMD Athlon 200GE,2,3.2,,35,Radeon Vega 3,True,AMD,Athlon,200GE,4110,1793,AM4,[],
AMD Athlon 240GE,2,3.5,,35,Radeon Vega 3,True,AMD,Athlon,240GE,4539,1950,AM4,[],
AMD Athlon 3000G (14nm),2,3.5,,35,Radeon Vega 3,True,AMD,Athlon,3000G,4457,1968,AM4,[],
AMD Athlon 5370,4,2.2,,25,Radeon R3 (on die),False,AMD,Athlon,5370,1927,754,AM1,[],
